full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score
public-apis/public-apis,https://github.com/public-apis/public-apis,Python,426197,2016-03-20T23:49:42Z,36,1,160.05,9.941805555555554,21.301666666666662,423,0.2406,68,0.0,1,0.0,1,0.0,0,10.108,-0.021,0.0,0.31,0,0.0323,0.0,3433,171650,274640,1716,18309.3,4205.4,532.83,85252.5,27466.8,79.6
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,Python,385971,2013-10-11T06:50:37Z,0,1,160.03,3.1675,50.11069444444445,430,0.2662,76,0.0,1,1.0,1,0.88,0,13.376,0.1084,0.0,0.13,0,0.0107,0.0,5793,289650,463440,2896,30896.0,1362.0,922.95,147672.1,45391.0,82.3
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Python,343944,2017-02-26T16:15:28Z,35,1,160.5,76.24027777777778,931.0930555555556,122,0.5486,63,0.0,1,2.0,0,0.0,0,12.837,-0.0035,0.0,0.41,0,0.0204,0.0,319,15950,25520,159,1701.3,9301.3,43.97,7034.4,5047.9,56.4
vinta/awesome-python,https://github.com/vinta/awesome-python,Python,294157,2014-06-27T21:00:06Z,2,1,160.07,6.978055555555556,0.0,407,0.6492,92,0.0,1,1.0,1,0.94,0,14.623,4.028,0.0,0.5,17,0.4143,0.0,2181,109050,174480,1090,11632.0,2840.1,330.92,52946.6,17257.3,78.3
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,Python,220135,2016-07-16T09:44:01Z,10,1,160.06,7.246944444444445,0.0,450,0.1029,75,0.0,1,2.0,1,0.88,0,9.854,0.0804,0.0,0.28,136,0.0017,0.0,2527,126350,202160,1263,13477.3,3261.1,386.25,61799.5,20076.9,83.1
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,Python,183727,2023-03-16T09:21:07Z,0,1,160.02,9.92625,6.4783333333333335,427,0.1386,40,0.0,1,2.0,1,0.82,0,8.114,2.5874,4.99,0.03,0,0.2948,0.0,7761,388050,620880,3880,41392.0,4238.5,1254.71,200753.6,62118.3,83.6
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Python,162574,2022-08-22T14:05:26Z,53,1,160.02,2.154861111111111,27.544444444444444,428,0.4948,66,0.0,1,1.0,1,0.38,1,9.612,0.0,42.4,0.58,7,0.1254,0.0,7337,366850,586960,3668,39130.7,922.3,1182.84,189253.6,57692.8,80.6
huggingface/transformers,https://github.com/huggingface/transformers,Python,159869,2018-10-29T13:56:00Z,0,1,160.01,22.592777777777776,34.76555555555556,437,0.0779,72,0.0,1,2.0,1,0.56,1,10.482,-1.8636,10.07,0.0,114,0.0007,0.0,17911,895550,1432880,8955,95525.3,9873.0,3019.3,483087.2,147342.0,89.2
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,Python,158394,2020-10-26T04:22:55Z,4,1,160.0,12.634166666666667,17.836666666666666,379,0.298,79,0.0,1,3.0,1,0.84,1,13.273,-0.9476,11.48,0.33,244,0.0013,0.0,21682,1084100,1734560,10841,115637.3,4788.3,3690.07,590410.5,177337.2,86.7
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,Python,152823,2016-05-04T06:24:11Z,22,1,160.72,29.76763888888889,468.2741666666667,10,0.9462,16,0.0,1,1.0,0,0.0,0,11.699,0.0245,6.02,0.11,0,0.0,0.0,223,11150,17840,111,1189.3,297.7,36.23,5796.3,1843.2,44.5
langflow-ai/langflow,https://github.com/langflow-ai/langflow,Python,147336,2023-02-08T22:28:03Z,0,1,160.0,1.571388888888889,32.35638888888889,318,0.4275,62,0.0,1,1.0,1,0.62,0,7.759,3.3462,7.56,0.07,1,0.4123,0.0,17314,865700,1385120,8657,92341.3,499.7,2913.71,466194.4,139559.4,80.7
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Python,140136,2010-10-31T14:35:07Z,63,1,160.0,25.635555555555555,19.63583333333333,387,0.3786,69,0.0,1,1.0,1,0.7568,1,13.927,0.0,34.55,0.07,0,0.0031,0.0,17900,895000,1432000,8950,95466.7,9921.0,3017.35,482775.7,147264.8,81.0
langchain-ai/langchain,https://github.com/langchain-ai/langchain,Python,134778,2022-10-17T02:58:36Z,0,1,160.01,4.0801388888888885,4.225833333333333,467,0.1294,52,0.0,1,1.0,1,0.72,0,10.619,-0.5629,0.93,0.02,0,0.0071,0.0,10803,540150,864240,5401,57616.0,1905.4,1775.63,284100.1,86199.6,83.7
open-webui/open-webui,https://github.com/open-webui/open-webui,Python,133858,2023-10-06T22:08:27Z,0,1,160.01,0.6883333333333334,45.025,388,0.7491,25,0.0,1,1.0,1,0.64,1,9.198,-1.7098,9.04,0.15,104,0.6465,0.0,15407,770350,1232560,7703,82170.7,267.1,3093.25,494920.0,140149.5,82.5
microsoft/markitdown,https://github.com/microsoft/markitdown,Python,116410,2024-11-13T19:56:40Z,3,1,160.0,18.595277777777778,68.4686111111111,75,0.3367,65,0.0,1,2.0,1,0.02,0,11.07,-0.0035,31.43,0.12,0,0.0033,0.0,300,15000,24000,150,1600.0,1394.6,41.22,6595.2,2537.4,70.9
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,Python,114571,2025-07-22T22:22:28Z,0,1,160.03,13.282916666666669,2.537777777777778,376,0.6284,36,0.0,1,1.0,1,0.08,1,4.706,78.9266,1.58,0.0,15,0.1241,0.0,5441,272050,435280,2720,29018.7,4994.4,864.16,138265.0,43660.7,83.7
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,Python,109914,2023-01-17T03:15:56Z,0,1,160.0,9.063611111111111,23.20694444444445,291,0.6173,69,0.0,1,1.0,1,1.0,1,4.035,-2.1678,3.78,0.17,10,0.0051,0.0,5046,252300,403680,2523,26912.0,2637.5,798.41,127745.1,39796.3,83.8
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,Python,107310,2024-04-29T05:30:25Z,5,1,160.0,27.05361111111111,34.874583333333334,77,0.5209,71,0.0,1,0.0,1,0.0,0,6.553,-1.5664,0.0,0.32,0,0.3133,0.0,958,47900,76640,479,5109.3,2083.1,139.5,22319.5,7643.5,78.7
